conversation_id,vader_pos,vader_neg,vader_neu,vader_compound,tb_polarity,tb_subjectivity
26c5dc109920789f9199ff9b37acb8c1,0.154,0.049,0.796,0.9976,0.07803916494133889,0.5827087646652863
e87a1aeb9aafa35c00da39ddeb1139a0,0.127,0.0,0.873,0.4939,0.0,0.1
c3415a9e401ff379f29fe3ce02e500dc,0.157,0.026,0.818,0.9978,0.20223809523809522,0.43892063492063493
ec6578cd9d69130a769ea307b6e7a874,0.068,0.009,0.924,0.9874,0.05123282514586862,0.5521080368906456
c9fdedb0e222c9251e5fab2b0784240c,0.177,0.026,0.797,0.9986,0.217635189669088,0.45973231100349754
01e1f36d3f0cf0c4acb8e15bc7f4ed10,0.067,0.007,0.926,0.9814,0.03855981416957027,0.6018292682926831
bf21a7138ef8028bee411c1f271ef94c,0.158,0.068,0.773,0.9956,0.05279534351736969,0.5062587144038756
a0d800583ab19bb20299af3925f9d6cf,0.064,0.011,0.925,0.9843,0.05363590310398822,0.49302984249792775
cc9c65c7200e499761e9b8bf6979f904,0.179,0.089,0.732,0.981,0.23345454545454547,0.5531818181818182
0bdd8d0421b41716c666fc6450302b9e,0.092,0.021,0.887,0.9808,0.18940217391304348,0.46847826086956523
59592d669b23b75896c7370f1a76fdda,0.057,0.063,0.88,-0.6237,0.14179951690821252,0.5172705314009661
f72a528e402f0461f09ae895c64d00de,0.204,0.013,0.783,0.9989,0.4361635220125787,0.6059748427672957
d149690d31daeaf8d00da8be0522be83,0.089,0.144,0.767,-0.9941,-0.07244897959183673,0.4282312925170068
76cddbd357ce9d6e087c0d51c14ce218,0.064,0.018,0.918,0.975,0.049523809523809526,0.5918750000000002
7f6c0fedf32e93a2d4475568848d9387,0.152,0.13,0.718,0.9703,0.09581161056376569,0.5438245758073343
db97fe0d462176b10c3fefea3c8daffc,0.138,0.003,0.859,0.9982,0.173639455782313,0.46870748299319726
c82a3047c7494a9725c716ef85530a71,0.0,0.0,1.0,0.0,0.0,0.0
e8fa890f242ecddda1eb6ec24f0d8f75,0.201,0.008,0.79,0.9993,0.32326388888888885,0.6038194444444444
b6c9e101545621fe21b57cf071ea4fbb,0.179,0.025,0.796,0.997,0.155996780996781,0.43039072039072035
f577b18c96d4b4b634767b00d305cbcf,0.23,0.031,0.739,0.9994,0.3421898835291693,0.5663637652030508
0e84913586e00ed2d3be04732884ecd3,0.08,0.009,0.911,0.9902,0.050793650793650794,0.5576923076923078
574408820417da162608d8860776bb65,0.134,0.053,0.813,0.996,0.10632407407407404,0.48447354497354495
19c833c0b35989e84560dd9e30b72a95,0.111,0.016,0.873,0.9828,0.04523809523809524,0.5217142857142858
8003c7d8502008c22a41f3d6596a8ce1,0.248,0.009,0.743,0.9995,0.3686763468013469,0.6132410413660416
bd25d40df389c05875cff8eda739125f,0.275,0.008,0.716,0.9995,0.3218062549695202,0.6651765468091998
7b97ab1cf7178c1f6de91453eee84d70,0.204,0.057,0.738,0.9995,0.2065956311769991,0.5709883198562443
cbb219e975240b02c0ebe08caa16603a,0.013,0.078,0.909,-0.8502,-0.10555555555555558,0.3722222222222222
300215ae4bc4dd1df1650b761cd34d80,0.0,0.0,1.0,0.0,-0.2,0.3
dc357f038688b5b420f9b5dd2a73e2d5,0.079,0.009,0.912,0.9907,0.04916943521594685,0.5831395348837211
849293a7b93f18fda1ef518951a7dd30,0.141,0.053,0.806,0.997,0.15420013227513227,0.49082751322751317
72f2b575ca5e5a8fb1ae187235e5a8c0,0.175,0.028,0.796,0.9978,0.30391022021456804,0.7154197252023337
c49eaadbe1ef28a64abc7555a0135342,0.237,0.014,0.749,0.9995,0.2637167729930888,0.5752328738512948
a79eb4213cf8f370d6281199124cbb3a,0.167,0.121,0.711,0.9891,0.06911487758945385,0.5383709981167607
bb9722f85f0864ed78056f48e1fbd013,0.093,0.037,0.87,0.9922,0.09061804248102324,0.4409604551431475
c59391e88aa99a2271965a94d13b90cc,0.234,0.014,0.752,0.9993,0.32864598364598363,0.6085113035113036
fccc18a3fb9117bcaf0836ad555735b2,0.114,0.104,0.782,0.9682,0.041700205176767674,0.4856898786976911
ad182f5728ed328e64b818a87b118c20,0.192,0.018,0.79,0.999,0.25351351351351353,0.6131531531531529
3155c029401c279a2183706e64536aa0,0.0,0.0,1.0,0.0,0.0,0.0
8ef170b0972d97286411c30e6b3ce7af,0.126,0.0,0.874,0.875,-0.041666666666666664,0.3464285714285714
350ed59a5a7f906fc03dd84e75ca226e,0.073,0.017,0.909,0.9867,0.042023809523809526,0.5787500000000002
47ee659ffff65a2cc7f42ea2a7626806,0.141,0.038,0.821,0.9493,0.11166666666666666,0.3305555555555555
3d131458e0723b91555df01c607f39ee,0.236,0.008,0.756,0.9996,0.3330606060606061,0.5242121212121212
cbe3d89de697c85b2f92b43cf98c652e,0.101,0.027,0.872,0.9805,0.035550082101806234,0.5083743842364532
2682d8a7d1f7b33674d833f0fb3d9077,0.118,0.038,0.844,0.9963,0.14953912208010567,0.5423722452410976
8a25422331c413d65940a906a32af6ee,0.05,0.04,0.91,0.6395,-0.04873015873015875,0.39312169312169315
b496a04da850de3d7a151638a2ba555a,0.13,0.024,0.846,0.9998,0.169121778779313,0.48696495538961304
916c554dcdfeee80c790d0a2a486aff3,0.188,0.024,0.789,0.9978,0.4252253069196429,0.5306746031746032
6b354b56aeac969276b6806e3b5f997d,0.194,0.034,0.772,0.9989,0.17597127739984883,0.5226429831191737
db1a82f23602cbd8365a10655f733bb4,0.246,0.078,0.676,0.9974,0.15558823529411764,0.536470588235294
d5553145cc9808e4d1937ea68fd63565,0.194,0.03,0.777,0.9988,0.2652415293040294,0.5311784569597071
dfaec3d6e89dca13d7396e356cbb006c,0.234,0.043,0.723,0.9979,0.10728354978354979,0.5732142857142858
861369ccf632f859b3aee61d0ad7216d,0.0,0.0,1.0,0.0,0.0,0.09
139ed414ac18c26700f3b3f26d400379,0.0,0.014,0.986,-0.4696,0.022222222222222223,0.25
6e5760fc4aa35125dc2197d310aa2e90,0.144,0.109,0.747,0.9823,0.14754672299027136,0.5553622631848437
2251eb3a9ddea5f01e27d756ca657413,0.201,0.142,0.657,0.9915,0.15294642857142857,0.4727232142857144
f609014129bb4b60fbe5df2b741202dc,0.193,0.092,0.715,0.999,0.23427840434419378,0.5476555973266501
a15fafa9c560c1fecd6290ae8336cd91,0.253,0.045,0.702,0.9993,0.2876225490196078,0.5661764705882353
38a49cf37dd3bf32479ec3080704d9c6,0.028,0.053,0.919,0.1018,-0.12708333333333335,0.4520833333333334
d9170c612016eb0dd6cef9b4edede889,0.062,0.041,0.897,0.7181,-0.05882352941176475,0.4264705882352941
fb6eed391fa5f3ae74500654f02772be,0.124,0.092,0.783,0.9966,0.06344901556310953,0.5199846983739601
a1bb3dabf43ff2b087a169e5ff4943fc,0.166,0.035,0.799,0.9977,0.1391549953314659,0.5063632119514472
adb6297aa9a701360044e9f35f27c20c,0.199,0.074,0.727,0.9973,0.16726857617268576,0.4693441261934415
0ea97f8fdbec754e6eb7299fc2ce92c6,0.061,0.036,0.903,0.6486,0.1159090909090909,0.3910839160839161
963ceab463b662f0d0d27c5e5b354f8c,0.056,0.096,0.849,-0.89,0.3,0.565
7f780423584ccd13562f838ca9496b1d,0.107,0.008,0.884,0.9791,0.23620129870129866,0.45892857142857135
57981864902f698a05cbc0ebf368e0e8,0.179,0.004,0.816,0.9991,0.15675509449899694,0.43160345751809176
47e9b82dabe8453401a5fd10b5eab810,0.0,0.0,1.0,0.0,0.0,0.0
fa0d6e32991c5f125b5b2267e43414bc,0.121,0.011,0.868,0.9963,0.20074023199023194,0.4143620268620269
edf4b55a063f469fce3c0b9271c66809,0.131,0.133,0.736,-0.2934,0.16483918128654967,0.5842105263157895
a4d5f226ff3f928254c60d80ada499b3,0.126,0.109,0.765,0.6501,0.10281412203053995,0.3936594085847816
9c7ab3b292140809f9cb07f3ffe2a42f,0.139,0.061,0.8,0.9997,0.14051236977537546,0.5374344185037827
ec96adb766f4c56b78dad5c38dc1001a,0.0,0.0,1.0,0.0,0.0,0.27936507936507937
bded6f66f8ab045628ff19a9f914b5c0,0.102,0.034,0.865,0.9844,0.13134648370497432,0.5690585096245474
7e773ad0d9fe033b5578517f3026f9c1,0.107,0.106,0.787,0.8094,0.04055656395223326,0.44347834361613886
f1c2ff9ecac5466990e032c2b90f6648,0.033,0.0,0.967,0.4215,0.024536796536796527,0.3705281385281385
